URL,Version,Status,OIDs,Name,Title,Description,Uses,Used,Sources
http://hl7.org/fhir/ValueSet/all-languages,5.0.0,active,"2.16.840.1.113883.4.642.3.21",AllLanguages,All Languages,"This value set includes all possible codes from BCP-47 (see http://tools.ietf.org/html/bcp47)","StructureDefinition/MyCondition","Other"
http://hl7.org/fhir/ValueSet/body-site,5.0.0,draft,"2.16.840.1.113883.4.642.3.653,2.16.840.1.113883.4.642.2.78,2.16.840.1.113883.4.642.3.141",SNOMEDCTBodyStructures,SNOMED CT Body Structures,"This value set includes all codes from [SNOMED CT](http://snomed.info/sct) where concept is-a 442083009 (Anatomical or acquired body site (body structure)).","StructureDefinition/MyCondition","SCT"
http://hl7.org/fhir/ValueSet/clinical-findings,5.0.0,draft,"2.16.840.1.113883.4.642.3.232,2.16.840.1.113883.4.642.3.227,2.16.840.1.113883.4.642.2.115",SNOMEDCTClinicalFindings,SNOMED CT Clinical Findings,"This value set includes all the ""Clinical finding"" [SNOMED CT](http://snomed.info/sct) codes - concepts where concept is-a 404684003 (Clinical finding (finding)).","StructureDefinition/MyCondition","SCT"
http://hl7.org/fhir/ValueSet/condition-category,5.0.0,draft,"2.16.840.1.113883.4.642.3.153,2.16.840.1.113883.4.642.3.162,2.16.840.1.113883.4.642.2.73",ConditionCategoryCodes,Condition Category Codes,"Preferred value set for Condition Categories.","StructureDefinition/MyCondition","THO"
http://hl7.org/fhir/ValueSet/condition-clinical,5.0.0,draft,"2.16.840.1.113883.4.642.3.155,2.16.840.1.113883.4.642.3.164,2.16.840.1.113883.4.642.2.74",ConditionClinicalStatusCodes,Condition Clinical Status Codes,"Preferred value set for Condition Clinical Status.","StructureDefinition/MyCondition","THO"
http://hl7.org/fhir/ValueSet/condition-code,5.0.0,draft,"2.16.840.1.113883.4.642.3.161,2.16.840.1.113883.4.642.2.72,2.16.840.1.113883.4.642.3.152",ConditionProblemDiagnosisCodes,Condition/Problem/Diagnosis Codes,"Example value set for Condition/Problem/Diagnosis codes.","StructureDefinition/MyCondition","SCT"
http://hl7.org/fhir/ValueSet/condition-stage,5.0.0,draft,"2.16.840.1.113883.4.642.3.161,2.16.840.1.113883.4.642.3.170,2.16.840.1.113883.4.642.2.408",ConditionStage,Condition Stage,"Value set for stages of cancer and other conditions.","StructureDefinition/MyCondition","SCT"
http://hl7.org/fhir/ValueSet/condition-stage-type,5.0.0,draft,"2.16.840.1.113883.4.642.3.171",ConditionStageType,Condition Stage Type,"Example value set for the type of stages of cancer and other conditions","StructureDefinition/MyCondition","SCT"
http://hl7.org/fhir/ValueSet/condition-ver-status,5.0.0,draft,"2.16.840.1.113883.4.642.3.157,2.16.840.1.113883.4.642.2.75,2.16.840.1.113883.4.642.3.166",ConditionVerificationStatus,Condition Verification Status,"The verification status to support or decline the clinical status of the condition or diagnosis.","StructureDefinition/MyCondition","THO"
http://hl7.org/fhir/ValueSet/languages,5.0.0,active,"2.16.840.1.113883.4.642.3.891,2.16.840.1.113883.4.642.3.20",CommonLanguages,Common Languages,"This value set includes common codes from BCP-47 (see http://tools.ietf.org/html/bcp47)","StructureDefinition/MyCondition","Other"
http://hl7.org/fhir/ValueSet/participation-role-type,5.0.0,draft,"2.16.840.1.113883.4.642.3.54",ParticipationRoleType,Participation Role Type,"This FHIR value set is comprised of Actor participation Type codes, which can be used to value FHIR agents, actors, and other role elements. The codes are intended to express how the agent participated in some activity. Sometimes refered to the agent functional-role relative to the activity.","StructureDefinition/MyCondition","THO,DICOM"
https://healthinfoservices.net/hello-fhir-ig/ValueSet/obs-vs,0.1.0,draft,,ObsVS,Observation ValueSet,"Use all LOINC codes for observations",,"LOINC"
https://healthinfoservices.net/hello-fhir-ig/ValueSet/severity-vs,0.1.0,draft,,SeverityVS,Condition Severity Valueset,"","StructureDefinition/MyCondition","SCT"
